learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1600000.0,66.6875,0.0,1000.0,0.04444965681422126,0.07739021468649455,1600000.0,0.0,11319.0,5660.0,5660.0,27.0,0.0,0.0,1.0
1610000.0,67.328125,0.0,1000.0,0.04455382212586823,0.07837103655271367,1610000.0,0.0,11379.0,5690.0,5690.0,27.0,0.0,0.0,1.0
1620000.0,67.953125,0.0,1000.0,0.05044121841436548,0.09603801271204451,1620000.0,0.0,11449.0,5725.0,5725.0,27.0,0.0,0.0,1.0
1630000.0,68.59375,0.0,1000.0,0.04631524300978068,0.08385272125632622,1630000.0,0.0,11509.0,5755.0,5755.0,27.0,0.0,0.0,1.0
1640000.0,69.203125,0.0,1000.0,0.04730202932839709,0.09016770786676596,1640000.0,0.0,11595.0,5798.0,5798.0,27.0,0.0,0.0,1.0
1650000.0,69.84375,0.0,1000.0,0.04816126957701724,0.0842308245377473,1650000.0,0.0,11669.0,5835.0,5835.0,27.0,0.0,0.0,1.0
1660000.0,70.484375,0.0,1000.0,0.05028759251968998,0.09534221990873212,1660000.0,0.0,11751.0,5876.0,5876.0,27.0,0.0,0.0,1.0
1670000.0,71.125,0.0,1000.0,0.04884479581777736,0.09135166817592974,1670000.0,0.0,11811.0,5906.0,5906.0,27.0,0.0,0.0,1.0
1680000.0,71.75,0.0,1000.0,0.04820234870976141,0.08508432478278595,1680000.0,0.0,11899.0,5950.0,5950.0,27.0,0.0,0.0,1.0
1690000.0,72.4375,0.0,1000.0,0.04819906020965623,0.08620298422580455,1690000.0,0.0,11961.0,5981.0,5981.0,27.0,0.0,0.0,1.0
1700000.0,73.09375,0.0,1000.0,0.04464850355860221,0.07946523262167995,1700000.0,0.0,12033.0,6017.0,6017.0,27.0,0.0,0.0,1.0
1710000.0,73.75,0.0,1000.0,0.043052496184588465,0.07434279149464813,1710000.0,0.0,12107.0,6054.0,6054.0,27.0,0.0,0.0,1.0
1720000.0,74.390625,0.0,1000.0,0.0470965050293921,0.08635856973227554,1720000.0,0.0,12181.0,6091.0,6091.0,27.0,0.0,0.0,1.0
